path	arm	argv0	env	args	sed_from	sed_to	sha256_lf	bytes_lf
c2r/avx2/radix2_hc2hc_dif_log3_bwd_avx2.c	genset	-	-	-	-	-	5d274a9c8c7748545751ccf89fd0f01336206447dd3494180705dadfb313a12f	5169
c2r/avx2/radix2_hc2hc_dif_rng_bwd_avx2.c	genset	-	-	-	-	-	4e7be89ea7610d806482b81b705bf75d6bc7f300af3b10b7dfa2ff628e5c6cf6	5345
c2r/avx2/radix2_r2cb_avx2.c	genset	-	-	-	-	-	5006b5da5c879bd27305ecd15abbff5a4b0dcf12af6dfdb85ad7cbe7edfecd83	2991
c2r/avx2/radix32_r2cb_avx2.c	genset	-	-	-	-	-	a48dc5c23a1b941fdef731b1645b9256096cdb636c6af349cc55f965c5b832f5	64393
c2r/avx2/radix3_hc2c_nat_bwd_avx2.c	genset	-	-	-	-	-	7558c366287210cff0dd65354b4c07621b4ae695a9f615002cd3c2f2552451a5	9052
c2r/avx2/radix3_hc2c_nat_log3_bwd_avx2.c	genset	-	-	-	-	-	4ff7b84b10252230ccfe2bc301d97755935213372a8617a10a84a87386b86367	9100
c2r/avx2/radix3_hc2c_nat_rng_bwd_avx2.c	genset	-	-	-	-	-	2590b1880b9372ba14d0cba25616e4ee31e655d599a72cf6c633e076b209f6a7	9300
c2r/avx2/radix3_hc2hc_dif_bwd_avx2.c	genset	-	-	-	-	-	6918c11e9832818a7fe1de383054629df3247f9ac0ee000e6def7120b5a41401	9012
c2r/avx2/radix3_hc2hc_dif_log3_bwd_avx2.c	genset	-	-	-	-	-	6cfb528286eeaab482bd162b8b407f4c24342d24c8e2cfa7dea4703de5716182	9060
c2r/avx2/radix3_hc2hc_dif_rng_bwd_avx2.c	genset	-	-	-	-	-	8417c36e82ca9ba3ef4a62b60dc643ddbd62bc05b0c62b1dbe2400a36feef77b	9236
c2r/avx2/radix3_r2cb_avx2.c	genset	-	-	-	-	-	14d540de26ab84b1d15628edbdcc737e657a6e3b11a7ebf431ef8eec02a22be4	4683
c2r/avx2/radix4_hc2c_nat_bwd_avx2.c	genset	-	-	-	-	-	188362075344362030ccb26ae42bdbce1e3611b4f68e4607d0ac65d4a3f4be77	10718
c2r/avx2/radix4_hc2c_nat_log3_bwd_avx2.c	genset	-	-	-	-	-	6d597033431d90679b528c03fa8021c7c732c2d0416ec3334a8332566fdb814c	10976
c2r/avx2/radix4_hc2c_nat_rng_bwd_avx2.c	genset	-	-	-	-	-	898049474aa7776dd4e017dc4743c4da19447584e8d93cd4022e42ef1447d4d5	10966
c2r/avx2/radix4_hc2hc_dif_bwd_avx2.c	genset	-	-	-	-	-	a749071206ba85a1f7268bf059f73d5b367157600751e06823a7114843d916e6	10694
c2r/avx2/radix4_hc2hc_dif_log3_bwd_avx2.c	genset	-	-	-	-	-	182c94e52488c92e6463733676d2baa859eb062854bf0391fa2e18f67f11bbdd	10742
c2r/avx2/radix4_hc2hc_dif_rng_bwd_avx2.c	genset	-	-	-	-	-	54492fca0974c3f1db32d155af62ac96959a3f09a13ee356f237d8e25d44b61d	10918
c2r/avx2/radix4_r2cb_avx2.c	genset	-	-	-	-	-	563b500482757d3236aea299e24ace3d00b799094ef1ceb8a89f55a203605a38	4845
c2r/avx2/radix5_hc2c_nat_bwd_avx2.c	genset	-	-	-	-	-	0e5cab5e535e8d6573bb2640a88bec0e2c84107ecdea5841445d204c7134ffa5	17331
c2r/avx2/radix5_hc2c_nat_log3_bwd_avx2.c	genset	-	-	-	-	-	ac48333e06db7268e4ba7ac120b762ba7122bd82dbaa0e8476d2603371c80692	17590
c2r/avx2/radix5_hc2c_nat_rng_bwd_avx2.c	genset	-	-	-	-	-	0a65a7173d8c8b6042bfd8c35d1cd3149284b816a0fb612c423676cb033b5ae7	17579
c2r/avx2/radix5_hc2hc_dif_bwd_avx2.c	genset	-	-	-	-	-	4ef0d4b27415a911202dd57d5cc248b419475d43c3050b0395df4ec110e23fca	17323
c2r/avx2/radix5_hc2hc_dif_log3_bwd_avx2.c	genset	-	-	-	-	-	fb46a11d5245de6b18692decd3c0dc6b1f7d1438227a33b05cbd159898c0993b	17371
c2r/avx2/radix5_hc2hc_dif_rng_bwd_avx2.c	genset	-	-	-	-	-	9e32da6389850957b709bf633ae3117a857684bbaaa18a42b0ee4c72bc3b445a	17547
c2r/avx2/radix5_r2cb_avx2.c	genset	-	-	-	-	-	ba41fdd574be3f79ef59018351c12affd1b6bb0ec18667558c7f3e42a4af372e	7990
c2r/avx2/radix7_hc2c_nat_bwd_avx2.c	genset	-	-	-	-	-	a278cd0f5da7e91fb7f0cef951c5502f7515ea7a66aaeba72c9dd1bf2a069fbd	24975
c2r/avx2/radix7_hc2c_nat_log3_bwd_avx2.c	genset	-	-	-	-	-	a29f25eaebbb48b3bcb81d06e1f52e57258d26342bd22f389902a16b67879051	25580
c2r/avx2/radix7_hc2c_nat_rng_bwd_avx2.c	genset	-	-	-	-	-	2ccfe6228dfb88fe57d53e4d85ee08f7c55dbcc5ad5a59d2a5283eb4f8c00acf	25223
c2r/avx2/radix7_hc2hc_dif_bwd_avx2.c	genset	-	-	-	-	-	8483894e1b7c195624b237f30db84c0f5bade59c170f56b638c1add2f8a1592b	24999
c2r/avx2/radix7_hc2hc_dif_log3_bwd_avx2.c	genset	-	-	-	-	-	776788c7160b0b05ad86a05cb1e194f37c1839f8878d07cf4f0f75cf33f8dac0	25047
c2r/avx2/radix7_hc2hc_dif_rng_bwd_avx2.c	genset	-	-	-	-	-	29dc5df540bf05991745990f86cd6c6db68d142039523f21e3cab7da54765844	25223
c2r/avx2/radix7_r2cb_avx2.c	genset	-	-	-	-	-	51658c678ed007a85b43099841d64e3d202b5476518521a93ed8419e79ae043f	11184
c2r/avx2/radix8_hc2c_nat_bwd_avx2.c	genset	-	-	-	-	-	fc8d9a2b11df966945a12c0827069bea71f9f5b41ce36f1f6b3436364c76bb00	25110
c2r/avx2/radix8_hc2c_nat_log3_bwd_avx2.c	genset	-	-	-	-	-	097f3e0ebc246198cb3b87abfa4aa873286ef25463425de839c1fbdee74dea8d	25950
c2r/avx2/radix8_hc2c_nat_rng_bwd_avx2.c	genset	-	-	-	-	-	2af77cee1dc952a433709828e2fa5a20f8ebf240bd0f35dea722a99dfd4bdb04	25358
c2r/avx2/radix8_hc2hc_dif_bwd_avx2.c	genset	-	-	-	-	-	8d189af409661b839aa717358d0caa34b6277c176110af9a44beac2b419d9075	25150
c2r/avx2/radix8_hc2hc_dif_log3_bwd_avx2.c	genset	-	-	-	-	-	cbeb1f13c7b79d7892ad6ecde5272a3215b5d8c7041dd65faccb4df650265846	25198
c2r/avx2/radix8_hc2hc_dif_rng_bwd_avx2.c	genset	-	-	-	-	-	80c8adfa55320c0c982e7e46ebbe1ab23228b22c1df3619aa071c73d4fc9323d	25374
c2r/avx2/radix8_r2cb_avx2.c	genset	-	-	-	-	-	8de13860e1c3d53d9eb6a1db5bb3a60516f8d4d5a7d0a9018f557393d754ce9d	10250
c2r/avx512/radix16_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	a179b12eb0235772da97445867a7e24172edaeb1052915d73742d1368b87a06e	48201
c2r/avx512/radix16_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	a20ad1859866e92f52e03dfdf7a3d7091bcc5ed1445bd7d0854de96b3d4d2cd4	50253
c2r/avx512/radix16_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	d497d337c7725cf0580d66b0248cc31f0c01005e584225bae2100dd033afefea	48451
c2r/avx512/radix16_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	c6be5413cecdfcf01dfe2b6e74bdef4035d4aa2f2462b954c2d9ba7ce35a1eaa	48341
c2r/avx512/radix16_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	ea9c770c71392dbf846506d6573539bbe574724b9145e65ead05c383f7451e2c	48389
c2r/avx512/radix16_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	3cc722897d22836f9c5fe4a6d4e20c7ddb9264e2b1af5e6ca190a5902aa6210a	48567
c2r/avx512/radix16_r2cb_avx512.c	genset	-	-	-	-	-	c3ba8494ca6e92748dab92cbda2b3548260a95f8dbd0c05cc584c20e21801949	19897
c2r/avx512/radix2_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	bedaacf917e65c35b02c81c30b3071dc6981c4afae797e80ed36fcfd9de9f6c8	4593
c2r/avx512/radix2_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	2e6159ffe53174bca8156940f3e610f3257b0ef3e0166ca37b6fc6a28dc58975	4641
c2r/avx512/radix2_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	97c4b6f6d6da0002c6fe3b983f2c3312c69a2ab6b97386ce8afd45982fecf32f	4841
c2r/avx512/radix2_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	ea1a6e039c3ca9f9fbe8da325e66ce9ce0b6ee91fd8b0bad8c62c48d21c387e8	4529
c2r/avx512/radix2_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	aedb24c7bd6ff29890221142c70c630df6014409bac0d697336aba14c220b7c2	4577
c2r/avx512/radix2_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	678d4b8716fe053e02c91b9b26446d7de58250f2beab27305782bfd8c4d8533b	4753
c2r/avx512/radix2_r2cb_avx512.c	genset	-	-	-	-	-	f4e50623dbc0549aa2dec8b60f22b7c3877fa0cd624300265a3f5194411ff93d	2751
c2r/avx512/radix32_r2cb_avx512.c	genset	-	-	-	-	-	5599949677a981fbc60538706348733c133c209bd0f98d21270d241e2ef7f8ae	51823
c2r/avx512/radix3_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	eccd2bdf857144d579d618eccb98c2b120e28bec30225cef112b90bb0bab27e4	7680
c2r/avx512/radix3_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	41137572e2c5ac25b9e230715824f5702420eabc243bce6d15bd0adb742c26c8	7728
c2r/avx512/radix3_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	ff0ab1377ff4f74374087c6b8151905037408eaadc48ea42ad4cd4987374d511	7928
c2r/avx512/radix3_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	2475203911ca457417b6a3cd14f7da71569f083bfe6b3fa73b2a5dcfa45884cf	7628
c2r/avx512/radix3_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	95ab5844c8efe51691c9ac44f08627e797a6ab5241953d406929adfedbe9df7e	7676
c2r/avx512/radix3_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	5456b46d586a9b757f86d6c1c4d22b91eb071db516047bb0b6c50f343f7ae56d	7852
c2r/avx512/radix3_r2cb_avx512.c	genset	-	-	-	-	-	a95e30a1d30853f97785836cee0d267141c7dd602560f82bbd00d0da21e4356a	4099
c2r/avx512/radix4_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	c6217abb04369f1185caa455865b877870c0b5300ec3f6449d87811122871a9f	9107
c2r/avx512/radix4_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	4b08726e062d3e867e433894fe483127d8c5433f10cb56643886c5c04878b88d	9316
c2r/avx512/radix4_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	4e50d64c0cc0e4814803c4d2ca5b7564c7bd45564c1b6027b2b03b48a614984b	9355
c2r/avx512/radix4_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	afdaf32372d5d85a2b00d8c6ab27d9286cfb3025ec59e20b55e5156b0589ab41	9067
c2r/avx512/radix4_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	49700ad329b3f9083bb8ff9baa363fda1b8d22061ca0f2bfe3d70d014d02ac1d	9115
c2r/avx512/radix4_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	cd6d67ae82e7df7161bf7da3dd1d14e1782da5c48f59d296d1db047e63136d90	9291
c2r/avx512/radix4_r2cb_avx512.c	genset	-	-	-	-	-	b2559672b84d79a23cb976a1623c15669a8ca6322287984cbf0d74cc0b8aabc2	4279
c2r/avx512/radix5_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	7d76badbc41e440c255c2c990000398c5bb034278ae8dc7b14290f80c82223e6	14271
c2r/avx512/radix5_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	0ad669af4699adba203706be8161464b03d1e4a04db300ac996a7f66f3231f39	14481
c2r/avx512/radix5_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	6544ad5741c7d94ecf1ee60885d42012e0e85a7332e549317d689614a3828219	14519
c2r/avx512/radix5_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	e11f6450a1dccc34fe9ba100237a87ac21647204bdaab640a6e8dc2207976e8a	14243
c2r/avx512/radix5_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	21ac5c55925a30ab2c20c76055e7d80f34c3921164e707719fd2c2ee2f292c2b	14291
c2r/avx512/radix5_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	9a947341106c8590634bffe43d9d1a1ad84a54fcbfbc4bbe5d01deaa415cc0f2	14467
c2r/avx512/radix5_r2cb_avx512.c	genset	-	-	-	-	-	35afe8840ed45152ac5a7294a064277d316793eb8114e633745a2b5c380a30e8	6737
c2r/avx512/radix7_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	1f3110feb3f0f2dc34fa9ab0173da89ffdc99b888a32160567242e1a48ce9751	20370
c2r/avx512/radix7_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	9dcead831e43ebe8d730f0b73bda9090ed59160328fe34dd847909520933db64	20846
c2r/avx512/radix7_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	ea56bd631fa27a4bd64eea3a3a8103bf28f03c1b911a1c8a859e2b8bc251e15e	20618
c2r/avx512/radix7_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	d97162cf1b78f9fb7291d7d006061c8c4d4823b6feb671a2eecaa16e93bd3443	20366
c2r/avx512/radix7_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	93d539bf6aa3701f363821d8694b555f7172e79d5526ec2e798ab006baa3a38b	20414
c2r/avx512/radix7_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	e946e908fbcb4b49512c8a708901b8bfc4bf729e54b53061e53b37eb0dcb2cc3	20590
c2r/avx512/radix7_r2cb_avx512.c	genset	-	-	-	-	-	7c2a2881e6479fbe882c34c287df97915a73a08314796395f2bf8f007a40f008	9281
c2r/avx512/radix8_hc2c_nat_bwd_avx512.c	genset	-	-	-	-	-	98601f211db20350233875190db9315a46b62d2a1e428ea7c4436bb67b0927ae	20710
c2r/avx512/radix8_hc2c_nat_log3_bwd_avx512.c	genset	-	-	-	-	-	fee97c309ba8a2ef133542845db21a4429937a69c1bff626cee5cea55415ead8	21366
c2r/avx512/radix8_hc2c_nat_rng_bwd_avx512.c	genset	-	-	-	-	-	ec7d244c156326885cecd91b850c97715aae54812390480ba75d942f6e14adbf	20958
c2r/avx512/radix8_hc2hc_dif_bwd_avx512.c	genset	-	-	-	-	-	80fb10c73b3176918c48028c73f3813d857b94820eb7434932cd891fd6422905	20718
c2r/avx512/radix8_hc2hc_dif_log3_bwd_avx512.c	genset	-	-	-	-	-	5e6b7381ce9f06aeea9ca6155131c48a0931ea91ac5b3f59b5282a0225f9787c	20766
c2r/avx512/radix8_hc2hc_dif_rng_bwd_avx512.c	genset	-	-	-	-	-	3473eb7106ca0451bef540e445c5259efc4ad749cc1ba35d1c051dce05cf58f3	20942
c2r/avx512/radix8_r2cb_avx512.c	genset	-	-	-	-	-	21fe1ec1957bdc1b2098761b8c3c7a80ed7ef1484a9c226be98fa29ba3358b62	8695
inplace/avx2/r10_n1_bwd.c	genset	-	-	-	-	-	c11210e8fae179248bdf5f450e466cb8b1c3600550519ff34bf4c38e7ad71997	31542
inplace/avx2/r10_n1_fwd.c	genset	-	-	-	-	-	237e4f482fdd25dbdfb8810babb8c65586c086b131e6f8a5ee274316c6fdad57	31705
inplace/avx2/r10_t1_dif_bwd.c	genset	-	-	-	-	-	b3c1c5f1b1b980824cbea3767343429475dd2858c4da56ea840c10ba2bfdc254	43222
inplace/avx2/r10_t1_dif_bwd_log3.c	genset	-	-	-	-	-	2f842aaa8a1078928a8da5d3757be09a22ab739354d248e97fe2995de87eb54f	43860
inplace/avx2/r10_t1_dif_fwd.c	genset	-	-	-	-	-	73312b3a962ef77a1eda5aefafb76a0e8c0cbb1cb3fb4485df7e505322dbb224	43622
inplace/avx2/r10_t1_dif_fwd_log3.c	genset	-	-	-	-	-	1cef617d96e92ee205731bd08b4ce07886644d7e4196cbdb16c86781aae467da	44600
inplace/avx2/r10_t1_dit_bwd.c	genset	-	-	-	-	-	63b61b6c1979a46917d86ee5e98a009dcd580806c889c836d67bd6e475d304ba	43440
inplace/avx2/r10_t1_dit_bwd_log3.c	genset	-	-	-	-	-	2ebb0dc045c8f39e192019c39a56c3dd4b8d07dc302ba31d84cb4b2df28addd3	44410
inplace/avx2/r10_t1_dit_fwd.c	genset	-	-	-	-	-	b317b0be8aa44043614fbe1d16c5499a0c4111a29b657ca67c72fcca2f56d580	43352
inplace/avx2/r10_t1_dit_fwd_log3.c	genset	-	-	-	-	-	c33bf11f7f59dcdebd2e75ce7dc7f73fe59069f19215350d0b93275f3db5b560	44026
inplace/avx2/r10_t1s_dif_bwd.c	genset	-	-	-	-	-	37ce355a4639a828c16ea8e84d8229a394139dcf7f99d10afb5a568cc1b365f1	42725
inplace/avx2/r10_t1s_dif_bwd_log3.c	genset	-	-	-	-	-	a48eacae65c9409a9cb98d37f45086f65b5b6fcc4ec971d48b65f2ee968a8028	43642
inplace/avx2/r10_t1s_dif_fwd.c	genset	-	-	-	-	-	d3030c6ba5cf541ba53b15752281b19e8b036a5dcc17f2817f31e49a0b260b6a	43125
inplace/avx2/r10_t1s_dif_fwd_log3.c	genset	-	-	-	-	-	df02b6a22b44f2c1c86259e1cd97197177317bebdc29e47cc191a8c10b814443	44382
inplace/avx2/r10_t1s_dit_bwd.c	genset	-	-	-	-	-	0c5c907d26511a72d4b20d54f844a014af6c3fc79b7517def55f5ad405a861e3	42943
inplace/avx2/r10_t1s_dit_bwd_log3.c	genset	-	-	-	-	-	58a4828c8531a9ef4d739bac5c77d790ccb796e96764c327d748ed4dc9c626ba	44192
inplace/avx2/r10_t1s_dit_fwd.c	genset	-	-	-	-	-	045474a21de3955b402c27782b1cda1bddf1e9d518e2f3cf6ec0280f46449d53	42855
inplace/avx2/r10_t1s_dit_fwd_log3.c	genset	-	-	-	-	-	83606efeb559b2820e049db07784c978bf520e42301839b005dc6efaf7014f6b	43808
inplace/avx2/r11_n1_bwd.c	genset	-	-	-	-	-	87e2d50a1e93fead6a2ce1154a8c652de058d48eb2a4fb5397248d5a373ae38a	33681
inplace/avx2/r11_n1_fwd.c	genset	-	-	-	-	-	90cffc7f0261781619d71e17ea5b8d985e3b11ac878ca0d71eabdd13fe63daca	33571
inplace/avx2/r11_t1_dif_bwd.c	genset	-	-	-	-	-	9d5bc68ee7e0d9e44779f53d32b340814eb5046bc645102e8b88c42f400a1fc4	44230
inplace/avx2/r11_t1_dif_bwd_log3.c	genset	-	-	-	-	-	7b24abeadd7444a5c2e5eace8f3c657f7351efa3f510bd2940191eb833661d0e	45094
inplace/avx2/r11_t1_dif_fwd.c	genset	-	-	-	-	-	1104b043bbc7fb07f764073fde5315801054de34c3e51d1f8137a507e9576e45	44036
inplace/avx2/r11_t1_dif_fwd_log3.c	genset	-	-	-	-	-	90614f951c666d0a96ec4b8ff752bf76ed822d1cde3e0869f512a4921a904dba	45176
inplace/avx2/r11_t1_dit_bwd.c	genset	-	-	-	-	-	0c64014e69bddd7ba462b51dc3040c07c2388be6b2dd3b0be5ddee25b8bf34d0	44140
inplace/avx2/r11_t1_dit_bwd_log3.c	genset	-	-	-	-	-	58132d0ae5d9d27abea6d2199af44626fdbcd563dbc3ae581fe26c3da47ecdd5	45280
inplace/avx2/r11_t1_dit_fwd.c	genset	-	-	-	-	-	04075594a5ab53236426d128fc1e4385a1c794e04a724d056915667eab4e064d	43882
inplace/avx2/r11_t1_dit_fwd_log3.c	genset	-	-	-	-	-	b6156e2298821aed06e553ce0f1d89a05a31bfd41f59bcc381ad5b10b4395ee4	44758
inplace/avx2/r11_t1s_dif_bwd.c	genset	-	-	-	-	-	0c494057283058175d431d553bb7c7e99ea708a218d00859a50cbc6ec608b794	43677
inplace/avx2/r11_t1s_dif_bwd_log3.c	genset	-	-	-	-	-	41505878d81731ba530cdfa1dab852fa39721958d6e9fc36332ef6391f4b03ae	44876
inplace/avx2/r11_t1s_dif_fwd.c	genset	-	-	-	-	-	2fb0dfecf844e991de80fd59a278ee5235c3139ac7898f3218ff3b7cae4ee9b3	43483
inplace/avx2/r11_t1s_dif_fwd_log3.c	genset	-	-	-	-	-	64e9035c6b74db4933f1ecb67120b0239f6a862370dc15e6d31ff79f831b4d36	44958
inplace/avx2/r11_t1s_dit_bwd.c	genset	-	-	-	-	-	8218e640098e82b3e22e463904d9514ea1453cfc6255ea1408a9276354134cf6	43587
inplace/avx2/r11_t1s_dit_bwd_log3.c	genset	-	-	-	-	-	6233bf9f63a302d21c118eae8632909245996e527a780749ca3e1ee1ce01e5f5	45062
inplace/avx2/r11_t1s_dit_fwd.c	genset	-	-	-	-	-	f8e4abd0d6314a3df643c4ba17a3f40cf65f5aee0d591c2c47db61a4819ed43f	43329
inplace/avx2/r11_t1s_dit_fwd_log3.c	genset	-	-	-	-	-	37c9cea04b8dc4b5a9810c8df4d4ef3b65550d2d51eb39876496c83d4ee4b215	44540
inplace/avx2/r12_n1_bwd.c	genset	-	-	-	-	-	a7e72c5e0366976e780fbf3496f67ad1874be3df1e64a9139cc0cfe12839cc33	34155
inplace/avx2/r12_n1_fwd.c	genset	-	-	-	-	-	efba9697ddaac47b182621c7f3d374d18e48859e0a885c33472930cd8456a229	34185
inplace/avx2/r12_t1_dif_bwd.c	genset	-	-	-	-	-	23177fe53418d190d3a19e8033d2746b438018362e4ec8b35906f68c81f1deeb	48525
inplace/avx2/r12_t1_dif_bwd_log3.c	genset	-	-	-	-	-	05910152bc7cfdfdeb83c11164c011dad80f20ca86d26bfe8d9ef22e0ffd97d2	49443
inplace/avx2/r12_t1_dif_fwd.c	genset	-	-	-	-	-	30b294b1580416609dd254704098f001b2d801cb3b8958b25d9959310bc28cca	48687
inplace/avx2/r12_t1_dif_fwd_log3.c	genset	-	-	-	-	-	96b138e34f3b2171819b525bcb017fdf61c83ff80411e9181408426b5623a291	50029
inplace/avx2/r12_t1_dit_bwd.c	genset	-	-	-	-	-	d27366a1061178b93a9db633d3e3921467c15bdd464a7302cd049b166141da12	48651
inplace/avx2/r12_t1_dit_bwd_log3.c	genset	-	-	-	-	-	b0e126aa186bbf83124c04849360f1d54815329d343ce0452535333c1a1710a2	49993
inplace/avx2/r12_t1_dit_fwd.c	genset	-	-	-	-	-	df4552df92192e69f8c5d4da49ef2f9bdca32c94effd03de3d7a9e7cbb3d9177	48453
inplace/avx2/r12_t1_dit_fwd_log3.c	genset	-	-	-	-	-	1f06c77f1152386516987df726beb0afa62e196f85e0e3aafa5754cfab7f303d	49371
inplace/avx2/r12_t1s_dif_bwd.c	genset	-	-	-	-	-	0e01d0f19429ad744f566d57ed0313162d81e7839193bcf52fae3ebd06fd8479	47915
inplace/avx2/r12_t1s_dif_bwd_log3.c	genset	-	-	-	-	-	1dc0185eccfadd7a0a55e4681aa00ced6e5692c892e41fa8904733c7d7fba7c1	49224
inplace/avx2/r12_t1s_dif_fwd.c	genset	-	-	-	-	-	413071ba8d8cefb2c4cf3fa83b91e7255fc9874e61cae1617a3df3a5810959e9	48077
inplace/avx2/r12_t1s_dif_fwd_log3.c	genset	-	-	-	-	-	f85b442d3abe2ee9d5bfdbeb4548183928e2229a138a43ad255d35be289b7995	49810
inplace/avx2/r12_t1s_dit_bwd.c	genset	-	-	-	-	-	28d1e905551d064590f7f476ab9991d34445c87f589a1cc54dc4dd2a60a70654	48041
inplace/avx2/r12_t1s_dit_bwd_log3.c	genset	-	-	-	-	-	cd0a2f59c6b5b67e945364908f82822d113395de9666be978c25835bcce67899	49774
inplace/avx2/r12_t1s_dit_fwd.c	genset	-	-	-	-	-	f9892e06a1c69ddd9b24344cd51b4a434ec0dcfb7cdfbe5af2bef6ecde62587a	47843
inplace/avx2/r12_t1s_dit_fwd_log3.c	genset	-	-	-	-	-	b3d011d4bed685df6eea81869699768cdb69a355b1fe82d7ed60a0b233f3827e	49152
inplace/avx2/r13_n1_bwd.c	genset	-	-	-	-	-	3c2463c3beee9f161a930f9ff53580053c1788ba17ec3d6debca8b6b649a9636	43187
inplace/avx2/r13_n1_fwd.c	genset	-	-	-	-	-	5bf5e0b12192c0962b9b168b28144e811e7e330ae5942baccd35647d138665e7	43065
inplace/avx2/r13_t1_dif_bwd.c	genset	-	-	-	-	-	abaa9df5e973105b673fab1b8b13472dbcb412e41f09d63be45cb371177d197a	56136
inplace/avx2/r13_t1_dif_bwd_log3.c	genset	-	-	-	-	-	01061f368ad584fdf98bd65ba246cb7e88e3e4b3f5b137cbc8973b79f91cc02e	57196
inplace/avx2/r13_t1_dif_fwd.c	genset	-	-	-	-	-	7eea446cb8ddd607f74f0d332d2b949db90f40ba487c8a5a0d36b2c2be01cfc8	55626
